identity,model_slot,raw_csv_row,x_m,y_m,z_m,reported_intensity_unspecified_unit,reported_radial_velocity_mps,euclidean_xyz_range_m,azimuth_deg,projection_valid,cached_image_u_px,cached_image_v_px
train/020340,0,20,1.1707439422607422,0.47466927766799927,0.07911154627799988,27.0,-0.6157415509223938,1.265784712443858,22.069721824061492,True,405.5405807495117,286.9064025878906
train/020340,1,22,1.2795219421386719,0.2549149692058563,-0.3823724687099457,25.0,-0.2052471786737442,1.3595465224724308,11.267324939391903,True,343.3478546142578,154.05801391601562
train/020340,2,0,0.04192644730210304,-0.0043950858525931835,0.02051040157675743,24.0,0.0,0.046880916542528704,-5.984372718071953,False,,
train/020340,3,2,1.2344950437545776,0.1977788656949997,-0.1977788656949997,18.0,0.0,1.2657847259648134,9.102027083565192,True,330.0173568725586,204.66294860839844
train/020340,4,9,0.6564897894859314,-0.26370516419410706,0.6153120398521423,15.0,0.4104943573474884,0.9376183465082837,-21.884818350353232,False,,
train/020340,5,10,1.3526006937026978,0.18166354298591614,0.49957475066185,15.0,0.4104943573474884,1.4533083674685372,7.649440652019962,True,329.63043212890625,395.9993896484375
train/020340,6,21,3.633425712585449,-0.2285444587469101,-0.34281668066978455,15.0,-0.4104943573474884,3.656711398927518,-3.5991940629107897,True,296.174259185791,223.68154907226562
train/020340,7,6,3.8896286487579346,-4.430246353149414,0.36918720602989197,14.0,0.0,5.906995257144559,-48.71779957102914,False,,
train/020340,8,16,5.467050552368164,-2.6663520336151123,0.38090744614601135,13.0,0.6157415509223938,6.09451929128475,-25.999096781131236,True,171.14213943481445,283.40185546875
train/020340,9,4,4.567507743835449,-0.5860114693641663,-0.8790172338485718,12.0,0.0,4.688092120428729,-7.311110109444481,True,278.9164924621582,187.795166015625
train/020340,10,13,0.9026098847389221,-0.07032137364149094,0.6680530309677124,12.0,0.6157415509223938,1.1251420140606179,-4.454854267663269,False,,
train/020340,11,23,1.2034797668457031,0.09376183152198792,-0.8907374143600464,12.0,-0.2052471786737442,1.5001893119197212,4.454854560659361,False,,
train/020340,12,25,3.2343521118164062,-0.25198492407798767,2.3938567638397217,12.0,-0.2052471786737442,4.031758945045577,-4.4548542663912025,False,,
train/020340,13,15,4.466007232666016,-2.5784504413604736,0.0,11.0,0.6157415509223938,5.156900937654046,-29.999999647623195,True,140.68376541137695,258.98724365234375
train/020340,14,24,1.3431732654571533,0.37944239377975464,-1.0299150943756104,11.0,-0.2052471786737442,1.734593915837037,15.77482581609469,False,,
train/020340,15,5,4.685144901275635,-0.5977316498756409,-0.7471645474433899,10.0,0.0,4.78185327380174,-7.270529132116043,True,279.6829605102539,199.6752471923828
train/020340,16,11,1.401439905166626,0.46148401498794556,-0.7178640365600586,10.0,0.4104943573474884,1.640832130008776,18.226339878379104,True,387.56053924560547,75.21180725097656
train/020340,17,17,6.061173915863037,-2.3528358936309814,-2.138941764831543,9.0,0.6157415509223938,6.844613784139865,-21.215293624235326,True,200.914306640625,130.66598510742188
train/020340,18,1,0.136050745844841,0.28714561462402344,-0.5742912292480469,8.0,0.0,0.6563328617660238,64.6482178412123,False,,
train/020340,19,18,7.2429585456848145,-2.675142288208008,0.9727789759635925,8.0,0.6157415509223938,7.782231922317931,-20.271399639328628,True,210.91293334960938,306.0538635253906
train/020340,20,3,1.1246182918548584,-0.13185258209705353,-1.7800098657608032,7.0,0.0,2.1096413268577177,-6.686948644636787,False,,
train/020340,21,7,2.8678643703460693,-3.589320182800293,0.0,7.0,0.2052471786737442,4.594329703162147,-51.37516916885229,False,,
train/020340,22,8,4.589840888977051,-0.14357280731201172,0.14357280731201172,7.0,0.2052471786737442,4.5943297321943,-1.7916600318635034,True,310.60983657836914,268.6273193359375
