arm,condition,unavailable_reason,AP_percent,AP50_percent,AP75_percent,per_class_percent
frozen_unadapted_pretrained_reference,clean,,40.562165421198834,46.54855755344111,43.349032729483035,"[80.60568843901885, 81.64297324577647, 0.0, 0.0]"
frozen_unadapted_pretrained_reference,camera_removed,,0.013572506941560664,0.09964771005761534,0.0,"[2.632541903485749e-05, 0.0542637023472078, 0.0, 0.0]"
frozen_unadapted_pretrained_reference,radar_removed,,40.562165421198834,46.54855755344111,43.349032729483035,"[80.60568843901885, 81.64297324577647, 0.0, 0.0]"
frozen_unadapted_pretrained_reference,radar_thinned_fresh,,40.562165421198834,46.54855755344111,43.349032729483035,"[80.60568843901885, 81.64297324577647, 0.0, 0.0]"
task_only,clean,,62.32842133589812,78.5763299149019,69.67570609737066,"[83.2449159413077, 82.01559814586074, 39.946699772009865, 44.106471484414186]"
task_only,camera_removed,,0.003693275631156261,0.021925499259057766,0.00012704837413986803,"[0.006963211916911644, 0.007809890607713401, 0.0, 0.0]"
task_only,radar_removed,,61.45016150323981,78.53307536455249,68.24535498708302,"[83.34499343526618, 81.80073201213095, 36.818521306424145, 43.836399259137984]"
task_only,radar_thinned_fresh,,62.18787076979645,78.35857878272468,69.316830987053,"[83.2186646694185, 82.07371253074375, 39.287179130905855, 44.17192674811768]"
cure,clean,,61.46852524609443,77.5433292753851,69.44618300991094,"[83.07143634821811, 82.22146427516444, 35.614346319943465, 44.96685404105169]"
cure,camera_removed,,0.0302036484318159,0.1944402940933885,0.00038252119133091826,"[0.012647191270752771, 0.10816740245651084, 0.0, 0.0]"
cure,radar_removed,,60.33464463564161,77.10354221971221,68.24228778134488,"[82.75821700610469, 82.02879044105595, 33.35415466056054, 43.197416434845294]"
cure,radar_thinned_fresh,,61.44535344933322,77.5109557232729,69.75090637783448,"[82.9958742925395, 82.26019783248147, 35.632622344947876, 44.89271932736399]"
modality_dropout,clean,,61.74123413987785,77.73473188998724,68.36204790362369,"[83.06752945066937, 82.41052014955551, 37.96609468196074, 43.52079227732574]"
modality_dropout,camera_removed,,0.07357247999600824,0.41342810770682814,0.0004929668144731084,"[0.2418511104749091, 0.05243880950912386, 0.0, 0.0]"
modality_dropout,radar_removed,,61.724752568486274,78.36727798856433,68.70740304445638,"[82.97643427813689, 82.10733769833489, 38.69164874468504, 43.12358955278825]"
modality_dropout,radar_thinned_fresh,,61.53452329341309,77.5107380646116,68.35648224123108,"[83.09675970562374, 82.25692126676005, 37.341274446462485, 43.44313775480611]"
