contrast,omitted_recording_index,objects,CURE_error,baseline_error,CURE_minus_baseline,percent_error_reduction
camera_removal/MAE/CURE_vs_trained_on_Task_features,3,2475,1.2585556024493594,1.3842712201975813,-0.12571561774822193,9.0817186627833
camera_removal/MAE/CURE_vs_trained_on_Task_features,4,2493,1.2775282490650335,1.4088386764403955,-0.13131042737536203,9.320472923637645
camera_removal/MAE/CURE_vs_trained_on_Task_features,5,883,1.2749887525292782,1.336015787967064,-0.06102703543778576,4.5678378943894815
camera_removal/MAE/CURE_vs_trained_on_Task_features,6,2477,1.2658652439202134,1.3914831948463215,-0.12561795092610817,9.027629754449295
camera_removal/MAE/CURE_vs_trained_on_Task_features,7,2192,1.2255837718283173,1.3612531407253585,-0.13566936889704118,9.966505482202104
radar_thinning/RMSE/CURE_vs_trained_on_Task_features,0,2424,0.02019679307440199,0.020080234689238315,0.0001165583851636745,-0.5804632613489513
radar_thinning/RMSE/CURE_vs_trained_on_Task_features,1,2353,0.025107796375895223,0.025171709166307295,-6.39127904120719e-05,0.2539072336717574
radar_thinning/RMSE/CURE_vs_trained_on_Task_features,2,2350,0.02510368102994577,0.02513159826773614,-2.791723779036956e-05,0.11108421156886816
radar_thinning/RMSE/CURE_vs_trained_on_Task_features,3,2475,0.024280676750243556,0.024342543673956295,-6.186692371273894e-05,0.254151433561689
radar_thinning/RMSE/CURE_vs_trained_on_Task_features,4,2493,0.024402799678300648,0.02446578259265009,-6.2982914349443e-05,0.2574326576758046
radar_thinning/RMSE/CURE_vs_trained_on_Task_features,5,883,0.02975716489577271,0.029951186922678168,-0.00019402202690545906,0.6477941171625146
radar_thinning/RMSE/CURE_vs_trained_on_Task_features,6,2477,0.024425325994179306,0.024484835202190445,-5.950920801113882e-05,0.24304516456706837
radar_thinning/RMSE/CURE_vs_trained_on_Task_features,7,2192,0.02374581020412143,0.023953386451292365,-0.000207576247170934,0.8665841366231275
radar_thinning/MAE/CURE_vs_trained_on_Task_features,0,2424,0.006983212400600468,0.007052515701697401,-6.930330109693357e-05,0.9826748925954698
radar_thinning/MAE/CURE_vs_trained_on_Task_features,1,2353,0.007745169723961349,0.007819489105511576,-7.431938155022695e-05,0.9504378169392536
radar_thinning/MAE/CURE_vs_trained_on_Task_features,2,2350,0.007644444170724997,0.007585337211853488,5.9106958871508845e-05,-0.77922651585145
radar_thinning/MAE/CURE_vs_trained_on_Task_features,3,2475,0.007234082367327629,0.007311088070179326,-7.700570285169763e-05,1.053272811276762
radar_thinning/MAE/CURE_vs_trained_on_Task_features,4,2493,0.007430673716888669,0.007508637080704244,-7.796336381557523e-05,1.0383157819136901
radar_thinning/MAE/CURE_vs_trained_on_Task_features,5,883,0.007292060878935733,0.007672719661376333,-0.0003806587824406,4.961197583652066
radar_thinning/MAE/CURE_vs_trained_on_Task_features,6,2477,0.007391569318646865,0.007468795407504042,-7.722608885717738e-05,1.0339831879661143
radar_thinning/MAE/CURE_vs_trained_on_Task_features,7,2192,0.0071126112420609846,0.007238516976515572,-0.00012590573445458737,1.739385772846458
