condition,status,paired_CURE_minus_task_only_pp,pointwise95_interval_pp,valid_draws,undefined_draws,CI_withheld_if_any_missing_class,p_value,scope
clean,complete_descriptive_conditional_bootstrap,-0.8598960898036023,,1340,660,True,,Pointwise exploratory sequence-resampling uncertainty conditional on this one fitted seed and eight reused development sequences; not simultaneous/confirmatory or seed variability
camera_removed,complete_descriptive_conditional_bootstrap,0.026510372800659647,,1340,660,True,,Pointwise exploratory sequence-resampling uncertainty conditional on this one fitted seed and eight reused development sequences; not simultaneous/confirmatory or seed variability
radar_removed,complete_descriptive_conditional_bootstrap,-1.1155168675981986,,1340,660,True,,Pointwise exploratory sequence-resampling uncertainty conditional on this one fitted seed and eight reused development sequences; not simultaneous/confirmatory or seed variability
radar_thinned_fresh,complete_descriptive_conditional_bootstrap,-0.742517320463143,,1340,660,True,,Pointwise exploratory sequence-resampling uncertainty conditional on this one fitted seed and eight reused development sequences; not simultaneous/confirmatory or seed variability
