AP_unit,bootstrap_replicates,candidate,candidate_mean_AP,candidate_seed_SD,centered_two_sided_bootstrap_p,ci95_high,ci95_low,condition,confidence_scope,control,control_mean_AP,control_seed_SD,effect_size_unit,endpoint,evidence_scope,group,holm_adjusted_p_full_280_cell_family,images,paired_difference,paired_seed_difference_SD,paired_seed_standardized_difference,primary_result,seed_ids,seeds,sequences,undefined_replicates,valid_replicates
fraction_0_to_1,10000,cure_without_temporal,0.34266399841924133,0.004738289155047793,9.999000099990002e-05,0.4280151406369612,0.2770738649280073,factual,sequence_sampling_conditional_on_fixed_trained_seeds,radar_only,0.0030243822143154867,0.00014810700274913439,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,natural_adverse,0.027997200279972004,871,0.3396396162049259,0.00486020872117194,69.88169350122658,False,"11,23,37,53,71",5,11,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.34266399841924133,0.004738289155047793,0.0704929507049295,0.01825955156108617,-0.0030518826268301795,factual,sequence_sampling_conditional_on_fixed_trained_seeds,concat_fusion,0.3328692286878196,0.006449519629375992,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,natural_adverse,1.0,871,0.00979476973142176,0.004068639758874296,2.407381904494725,False,"11,23,37,53,71",5,11,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.34266399841924133,0.004738289155047793,0.06239376062393761,0.022288446949106994,-0.0006976983064867478,factual,sequence_sampling_conditional_on_fixed_trained_seeds,cross_attention,0.3318460634313648,0.004716250945502734,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,natural_adverse,1.0,871,0.010817934987876554,0.005197724632070829,2.081282821550047,False,"11,23,37,53,71",5,11,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.34266399841924133,0.004738289155047793,0.44445555444455553,0.012026922266977656,-0.006403454719586804,factual,sequence_sampling_conditional_on_fixed_trained_seeds,matched_corruption_fusion,0.3390820367105419,0.0012366641604809965,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,natural_adverse,1.0,871,0.003581961708699466,0.004906937066596881,0.7299791417915356,False,"11,23,37,53,71",5,11,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.34266399841924133,0.004738289155047793,0.10598940105989402,0.003430270823062644,-0.01796455845159851,factual,sequence_sampling_conditional_on_fixed_trained_seeds,modality_dropout,0.35118897011316585,0.005227431967262895,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,natural_adverse,1.0,871,-0.008524971693924488,0.0061791554318950245,-1.379633800749053,False,"11,23,37,53,71",5,11,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.34266399841924133,0.004738289155047793,0.8562143785621438,0.005461584183314046,-0.010088468846215799,factual,sequence_sampling_conditional_on_fixed_trained_seeds,confidence_gate,0.34198791454004995,0.007476160559706089,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,natural_adverse,1.0,871,0.0006760838791914026,0.011233749053219479,0.06018328128823955,False,"11,23,37,53,71",5,11,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.34266399841924133,0.004738289155047793,0.22047795220477953,0.00890969061486083,-0.005240993430458912,factual,sequence_sampling_conditional_on_fixed_trained_seeds,cure_without_uncertainty,0.33802575115436106,0.009032960804302919,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,natural_adverse,1.0,871,0.004638247264880302,0.011596031673884843,0.39998573609677107,False,"11,23,37,53,71",5,11,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.34266399841924133,0.004738289155047793,0.18118188181181882,0.006122927411224382,-0.0014484459583401666,factual,sequence_sampling_conditional_on_fixed_trained_seeds,cure_without_signed_negative,0.3401404647355946,0.0029965679250157306,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,natural_adverse,1.0,871,0.0025235336836467283,0.004814464866443943,0.524156630830429,False,"11,23,37,53,71",5,11,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,0.010998900109989001,0.03731618702946086,0.005666516786354299,factual,sequence_sampling_conditional_on_fixed_trained_seeds,task_only_residual_controller,0.39391641282478196,0.005438091949348167,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,1.0,2280,0.020649951003428025,0.010582272304571975,1.951372106962925,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,0.30516948305169483,0.003263402873420475,-0.021054798273409652,factual,sequence_sampling_conditional_on_fixed_trained_seeds,camera_only,0.42061386682055046,0.004635991082453043,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,1.0,2280,-0.006047502992340403,0.006648977482206024,-0.9095387987889438,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,9.999000099990002e-05,0.506702823895272,0.3600852423431335,factual,sequence_sampling_conditional_on_fixed_trained_seeds,radar_only,0.0031921277938021303,0.0001680609229955346,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,0.027997200279972004,2280,0.4113742360344078,0.006508551366606658,63.20519157996362,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,0.21347865213478653,0.0031594571205824738,-0.016855070713072202,factual,sequence_sampling_conditional_on_fixed_trained_seeds,concat_fusion,0.42071811362531386,0.010556206971801237,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,1.0,2280,-0.006151749797103856,0.012934614419361754,-0.4756036475192747,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,0.1705829417058294,0.012965328293240772,-0.003174353590105243,factual,sequence_sampling_conditional_on_fixed_trained_seeds,cross_attention,0.4091242876354412,0.004220013319202866,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,1.0,2280,0.005442076192768819,0.006808443745388042,0.7993127939780975,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,0.09599040095990401,0.013376125881414515,-0.0022466165609061417,factual,sequence_sampling_conditional_on_fixed_trained_seeds,matched_corruption_fusion,0.4077491848094604,0.005324550048951765,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,1.0,2280,0.0068171790187496195,0.01014545757978751,0.671943967547731,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,0.18798120187981202,0.0021186761981666505,-0.025491147485496368,factual,sequence_sampling_conditional_on_fixed_trained_seeds,modality_dropout,0.42390925827834874,0.006158552852879427,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,1.0,2280,-0.00934289445013876,0.00926563946252271,-1.0083377934063298,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,0.0405959404059594,0.027691988383203886,0.0023549941907522773,factual,sequence_sampling_conditional_on_fixed_trained_seeds,confidence_gate,0.401545794056328,0.00908143084944319,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,1.0,2280,0.013020569771882018,0.014078911084879785,0.9248278999265515,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,0.006899310068993101,0.01397554877379753,0.002276730518085295,factual,sequence_sampling_conditional_on_fixed_trained_seeds,cure_without_uncertainty,0.40645915132068267,0.010505112019228534,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,1.0,2280,0.008107212507527295,0.007400898544481548,1.0954362445047172,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.41456636382821,0.006524196463021363,0.011698830116988301,0.012715096427315574,0.001272890700310722,factual,sequence_sampling_conditional_on_fixed_trained_seeds,cure_without_signed_negative,0.4066836276983154,0.008909736863077477,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,non_adverse,1.0,2280,0.007882736129894563,0.008340360601183837,0.9451313326639237,False,"11,23,37,53,71",5,43,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.3380296056307187,0.010563302118454923,0.8937106289371063,0.014076851511117594,-0.017586440928323843,factual,sequence_sampling_conditional_on_fixed_trained_seeds,task_only_residual_controller,0.3374751098256127,0.01774988989719902,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,rain,1.0,182,0.0005544958051060589,0.021998870578119945,0.02520564876896725,False,"11,23,37,53,71",5,4,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.3380296056307187,0.010563302118454923,0.8559144085591441,0.010089963942440772,-0.02114671373411553,factual,sequence_sampling_conditional_on_fixed_trained_seeds,camera_only,0.340047881360516,0.015945221263414504,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,rain,1.0,182,-0.0020182757297973032,0.01570278950421933,-0.12852975767490188,False,"11,23,37,53,71",5,4,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.3380296056307187,0.010563302118454923,9.999000099990002e-05,0.3844463997610765,0.2929507107073318,factual,sequence_sampling_conditional_on_fixed_trained_seeds,radar_only,0.0033911844335827363,0.00022554447670139748,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,rain,0.027997200279972004,182,0.334638421197136,0.010778886218626688,31.045732778852127,False,"11,23,37,53,71",5,4,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.3380296056307187,0.010563302118454923,0.8933106689331067,0.02589664900327371,-0.029488651760326223,factual,sequence_sampling_conditional_on_fixed_trained_seeds,concat_fusion,0.3382714877609204,0.00565388611814451,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,rain,1.0,182,-0.00024188213020169823,0.012377955171652268,-0.01954136421140477,False,"11,23,37,53,71",5,4,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.3380296056307187,0.010563302118454923,0.9097090290970903,0.016270844510544336,-0.026743951191056825,factual,sequence_sampling_conditional_on_fixed_trained_seeds,cross_attention,0.338320397184555,0.01461005189401261,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,rain,1.0,182,-0.00029079155383624487,0.023770877777867863,-0.012233101215428803,False,"11,23,37,53,71",5,4,0,10000
fraction_0_to_1,10000,cure_without_temporal,0.3380296056307187,0.010563302118454923,0.17818218178182182,0.0008509120141023119,-0.02622531656057986,factual,sequence_sampling_conditional_on_fixed_trained_seeds,matched_corruption_fusion,0.3489767284970073,0.006114803220801018,independent_training_seed_pooled_AP_not_frames,mean_seed_pooled_COCO_AP_difference,audited_exploratory_SEW_2D,rain,1.0,182,-0.010947122866288572,0.012474143691943449,-0.8775851181960396,False,"11,23,37,53,71",5,4,0,10000
